53, 3, 304504, 6, 10, 2, 8, 2, 1, 1, 0, 1887, 45, 1, 1
25, 3, 390657, 6, 10, 1, 5, 1, 2, 1, 0, 0, 40, 1, 0
18, 3, 41381, 2, 9, 1, 6, 4, 1, 2, 0, 1602, 20, 1, 0
51, 3, 101432, 2, 9, 2, 7, 2, 1, 1, 0, 0, 40, 1, 0
61, 3, 190682, 2, 9, 6, 7, 1, 2, 2, 0, 1669, 50, 1, 0
53, 3, 158993, 2, 9, 6, 10, 5, 2, 2, 0, 0, 38, 1, 0
17, 3, 117798, 12, 6, 1, 5, 4, 1, 1, 0, 0, 20, 1, 0
61, 3, 137554, 9, 4, 2, 7, 2, 1, 1, 0, 0, 40, 1, 0
44, 6, 71556, 4, 14, 2, 6, 2, 1, 1, 0, 0, 50, -1, 1
38, 3, 257416, 5, 5, 2, 8, 2, 2, 1, 0, 0, 40, 1, 0
40, 3, 195617, 6, 10, 5, 2, 5, 1, 2, 0, 0, 20, 1, 0
32, 3, 236318, 6, 10, 2, 6, 2, 1, 1, 0, 0, 32, 1, 0
46, 3, 42251, 6, 10, 2, 6, 2, 1, 1, 0, 0, 45, 1, 1
50, 3, 257933, 6, 10, 3, 1, 1, 1, 2, 0, 0, 40, 1, 0
36, 2, 109133, 1, 13, 2, 6, 2, 1, 1, 0, 0, 50, 1, 1
30, 2, 261943, 3, 7, 4, 7, 1, 1, 1, 0, 0, 30, 8, 0
33, 3, 139057, 4, 14, 2, 11, 2, 3, 1, 0, 0, 50, 1, 1
36, 3, 237943, 1, 13, 2, 4, 2, 1, 1, 0, 1977, 45, 1, 1
85, 3, 98611, 1, 13, 2, 2, 2, 1, 1, 0, 0, 3, 15, 0
62, 3, 128092, 2, 9, 6, 1, 1, 1, 2, 0, 0, 32, 1, 0
24, 3, 284317, 1, 13, 1, 10, 1, 1, 2, 0, 0, 32, 1, 0
48, 6, 185041, 2, 9, 2, 7, 2, 1, 1, 7298, 0, 50, 1, 1
58, 5, 223214, 2, 9, 2, 5, 2, 1, 1, 0, 0, 40, 1, 0
45, 6, 173664, 1, 13, 2, 2, 2, 1, 1, 0, 0, 45, 1, 1
66, 3, 269665, 2, 9, 6, 2, 1, 1, 2, 0, 0, 25, 1, 0
37, 3, 121521, 10, 15, 2, 4, 2, 1, 1, 15024, 0, 45, 1, 1
55, 3, 199713, 5, 5, 2, 7, 2, 1, 1, 0, 0, 48, 1, 0
39, 2, 193689, 2, 9, 1, 2, 1, 1, 1, 0, 0, 65, 1, 0
58, 6, 181974, 11, 16, 1, 4, 1, 1, 2, 0, 0, 99, -1, 0
50, 3, 485710, 11, 16, 3, 4, 1, 1, 2, 0, 0, 50, 1, 0
28, 3, 185647, 6, 10, 3, 3, 1, 1, 1, 0, 0, 50, 1, 0
